Dates;Times;Location;Operator;FlightNo;Route;ACType;Registration;Aboard;Fatalities;Ground;Summary;FatalitiesInt;AboardInt;GroundInt;Month;Year;DeathRate;Jan;Feb;Mar;Apr;May;June;July;Aug;Sep;Oct;Nov;Dec;Weather
2016/3/19;341;"	Rostov-on-Don, Russia";Flydubai;981;Dubai - Rostov;0;A6-FDN;40241/3517;62 ? (passengers:55? crew:7);62 ? (passengers:55? crew:7);At 2237, at Rostov-on-Don, the crew aborted a landing attempt to Runway 22 due to poor weather conditions. The plane was instructed to enter a holding pattern at 15,000 feet where it remained for a little under two hours. During a second landing attempt, at 3.4 miles from the runway and an altitude of 1,500 feet the crew executed a second go around and climbed to 3,975 feet, after which, the plane went out of control in a nose down attitude and hit the runway at high rate of speed and disintegrated.;62;40241/3517;62;3;2016;1;0;0;1;0;0;0;0;0;0;0;0;0;1
2016/3/29;1140;Magdelen Islands, Quebec, Canada;Marquise Aviation Corp.;?;Montreal - Iles-de-la-Magdelen;0;N246W;1552S-A;7 ? (passengers:5? crew:2);7 ? (passengers:5? crew:2);The plane crashed while on approach to Iles-de-la-Magdelen Airport in poor weather conditions. Former Canadian cabinet minister Jean Lapierre, his wife, 2 brothers and sister were among those killed. All five were on the way to a funeral for Lapierre's father. The pilot was flying the plane too fast and too high while on approach to land.;7;1552S-A;7;3;2016;1;0;0;1;0;0;0;0;0;0;0;0;0;1
2016/4/4;1530;Near Pigeon Forge, Tennessee;Smoky Mountain Helicopters;?;Sightseeing;0;N16760;45081;5 ? (passengers:4? crew:1);5 ? (passengers:4? crew:1);The helicopter crashed in a wooded hillside while on a sightseeing flight..;5;45081;5;4;2016;1;0;0;0;1;0;0;0;0;0;0;0;0;0
2016/4/13;1420;Kiunga, Papua New Guinea;Sunbird Aviation;?;Oksapmin - Kiungaraining;0;P2-SBC;3010;12 ? (passengers:11? crew:1);12 ? (passengers:11? crew:1);While on approach, the plane stalled and crased in a wooded area 1 km short of the runway. The accident took place in stormy weather.Three survived, but later died of their injuries. Possible engine failure.;12;3010;12;4;2016;1;0;0;0;1;0;0;0;0;0;0;0;0;1
2016/4/29;1150;Sorta, Norway;"	CHC Helikopter Service";?;Gullfflex B - Bergen;0;" 	LN-OJF";2721;13 ? (passengers:11? crew:2);13 ? (passengers:11? crew:2);The helicopter crashed on the rocky shores of Tuoy Island whle returning to Bergen from Oil platform Gullflex B. All 11 passengers and 2 pilots were killed. A video taken by an eyewitness shows the main rotor separating from the helicopter before it crashed.;13;2721;13;4;2016;1;0;0;0;1;0;0;0;0;0;0;0;0;0
2016/5/19;249;175 miles off the Egyptian coast;EgyptAir;804;Paris - Cairo;1;SU-GCC;2088;66 ? (passengers:56? crew:10);66 ? (passengers:56? crew:10);The plane was en route from Paris to Cairo, flying at an altitude of 38,000 ft. when it made a sharp 90 degree turn to the left, followed by a 360 degree turn to the right as it lost altitude. The aircraft crashed into the Mediterranean Sea approximately 175 miles off the Egyptian coast.;66;2088;66;5;2016;1;0;0;0;0;1;0;0;0;0;0;0;0;0
2016/7/22;?;Bay of Bengal, Indian Ocean;Indian Air Force;?;Chennai (Tambram AFB) - Port Blair;0;K2743;809;29 ? (passengers:23? crew:6);29 ? (passengers:23? crew:6);The aircraft was taking part in fire fighting in the region of Bayanday, when under unknown circumstances, it impact trees and crashed in a wooded area.;29;809;29;7;2016;1;0;0;0;0;0;0;1;0;0;0;0;0;0
2016/7/30;742;Near Lockhart, Texas;Heart of Texas Hot Air Balloon Rides;?;Sightseeing Fentress Airpark;0;N2469L;?;16 ? (passengers:15? crew:1);16 ? (passengers:15? crew:1);The hot air balloon struck power lines and crashed in a field. The pilot was likely impaired by opioids and sedatives when he ignored weather warnings and flew the ride into a power line.;16;?;16;7;2016;1;0;0;0;0;0;0;1;0;0;0;0;0;1
2016/8/5;1238;Dubai, United Arab Emirates;Emirates;521;Thiruvanthapuram, India - Dubai, UAE;1;A6-EMW;32700/434;300 ? (passengers:282? crew:18);0 ? (passengers:0? crew:0);After being cleared to land, the crew informed Dubai tower they were going around. Immediately after being cleared to go-around, the aircraft impacted the runway, losing an engine and catching fire. The plane slid to a stop and all aboard evacuated the plane safely. One fire fighter was killed while fighting the fire.;300;32700/434;0;8;2016;0;0;0;0;0;0;0;0;1;0;0;0;0;0
2016/8/31;1100;Russian Mission, Alaksa;Hageland Aviiation;3190;"	Russian Mission- Marshall";0;"	N752RV";208B5088;5 ? (passengers:4? crew:1);5 ? (passengers:4? crew:1);A midair collision occurred between a Cessna 208 and a Piper PA-18 Super Cub just northwest of Russian Mission Airport. Three on the Cessna and 2 on the Piper were fatally injured. Rough terrain complicated removal of the victims.;5;208B5088;5;8;2016;1;0;0;0;0;0;0;0;1;0;0;0;0;0
2016/10/24;720;Malta International Airport;AE Aviation;?;Malta-Luqa - Malta-Luga;0;N577MX;AT-577;5 ? (passengers:3? crew:2);5 ? (passengers:3? crew:2);Shortly after taking off, the plane banked to the right, lost altitude and impacted the ground just past the airport. French ministry officials on board were attempting to trace routes of illicit trafficking both human and drug, leaving Libya.;5;AT-577;5;10;2016;1;0;0;0;0;0;0;0;0;0;1;0;0;0
2016/11/18;1915;Elko, Nevada;American Medflight Inc.;?;Elko- Salt Lake City;0;N775F;31T-7920079;4 ? (passengers:1? crew:3);4 ? (passengers:1? crew:3);The medical transport plane crashed into the Barrik Gold Corp. parking lot near a busy casino, motel, grocery store and senior housing complex shortly after taking off. A heart patient and three crew members were killed.;4;31T-7920079;4;11;2016;1;0;0;0;0;0;0;0;0;0;0;1;0;0
2016/11/28;2200;Near La Union, Colombia;LAMIA Bolivia;2933;Santa Cruz, Bolivia - Medellin,Colombia;0;CP-2933;E-2348;77 ? (passengers:68? crew:9);71 ? (passengers:64? crew:7);The crew of the chartered passenger jet declared an emergency as it approached La Union, reporting they ran out of fuel and had an electrical failure. Soon after the plane impacted mountainous terrain approximately 22 miles south of Medellin. Members of the Brazilian Chapecoense soccer team were among those killed. Among the errors made which caused the crash were the decisions to let the plane take off without enough fuel to make the flight safely and then to not stop midway to refuel. The pilot also did not report the plane's emergency until it was too late.;77;E-2348;71;11;2016;0.9221;0;0;0;0;0;0;0;0;0;0;1;0;0
2016/12/3;1122;Near Tanjung Pinanga, Indonesia;Indonesian Police;?;Pangkal Pinang - Batam Island;0;P-4201;?;13 ? (passengers:8? crew:5);13 ? (passengers:8? crew:5);The Indonesian police aircraft crashed in the waters off Kabupaten Lingga, Riau Islands during a 1.5 hour scheduled flight.;13;?;13;12;2016;1;0;0;0;0;0;0;0;0;0;0;0;1;0
2016/12/7;1620;Near Havlien, Pakistan;Pakistan International Airlines;661;Chitral - Islamabad;0;AP-BHO;663;48 ? (passengers:42? crew:6);48 ? (passengers:42? crew:6);While en route, the crew made a mayday call reporting they lost one of two engines. Contact was lost and the plane soon after crashed into mountains near Abbottabad and Havelian.;48;663;48;12;2016;1;0;0;0;0;0;0;0;0;0;0;0;1;0
2016/12/18;610;Near Wamena, Papua, Indonesia;Indonesian Air Force;?;Timika - Warmera;0;"  	A-1134";4785;13 ? (passengers:10? crew:3);13 ? (passengers:10? crew:3);The military plane crashed into mountainous terrain in an eastern section of the country while attempting to land at Warmera.;13;4785;13;12;2016;1;0;0;0;0;0;0;0;0;0;0;0;1;0
2016/12/20;1723;Puerto Carreno, Colombia;Aerosucre Colombia;?;Puerto Carreno - Bogota;1;HK-4544;21105/1158;6 ? (passengers:0? crew:6);5 ? (passengers:0? crew:5);After taking off on runway 24, the cargo jet failed to lift off properly, just cleared the perimeter fence, became airborne, turned to the right, lost altitude and crashed in an open field.;6;21105/1158;5;12;2016;0.8333;0;0;0;0;0;0;0;0;0;0;0;1;0
2016/12/25;527;Near Adar, Russia;Russian Air Force;?;Chkalovsky AB -Ader - Latakia, Syria;0;RA-85572;83A-572;92 ? (passengers:84? crew:8);92 ? (passengers:84? crew:8);The plane, carrying the Alexandrov Emsemble choir, reporters and service men, made a climbout out of Ader, turned back towards the coastline and crashed into the waters of the Black Sea about a mile offshore.;92;83A-572;92;12;2016;1;0;0;0;0;0;0;0;0;0;0;0;1;0
2017/1/16;719;Bishkek, Kyrgyzstan;My Cargo Airlines (ACT Airlines);6491;Hong Kong - Bishkek - Istanbul;1;TC-MCL;32897/1322;4 ? (passengers:0? crew:4);4 ? (passengers:0? crew:4);While approaching Bishkek for a fuel stop, the cargo plane crashed past the end of the runway destroying 23 houses. The weather at the time of the accident was freezing fog.;4;32897/1322;4;1;2017;1;1;0;0;0;0;0;0;0;0;0;0;0;1
2017/2/21;900;Melbourne, Victoria, Australia;Australian Corporate Jet Centres PTY. LTD;?;Melbournen - King Island;0;VH-ZCR?;BB1544;5 ? (passengers:4? crew:1);5 ? (passengers:4? crew:1);The charter flight was just seconds into it's flight when it was observed flying low, before it nose diving into a building at a shopping center and bursting into flames. The pilot made two mayday calls before the aircraft crashed. It is reported the plane suffered engine failure.;5;BB1544;5;2;2017;1;0;1;0;0;0;0;0;0;0;0;0;0;0
2017/3/10;1120;Istanbul, Turkey;Swan Aviation;?;Istanbul - Bozuyuk;0;TC-HEZ;760717;7 ? (passengers:5? crew:2);7 ? (passengers:5? crew:2);The helicopter crashed on a highway after hitting a TV tower, six minutes after taking off. The helicopter was carrying an executive of the Eczacibasi group of companies, four of his Russian guests and two pilots.;7;760717;7;3;2017;1;0;0;1;0;0;0;0;0;0;0;0;0;0
2017/3/27;815;Mautaer, Zimbabwe;ETA Air Charter;?;Beira, Mozambique - Harare, Zimbabwe;0;C9-AOV;24;6 ? (passengers:4? crew:2);6 ? (passengers:4? crew:2);While en route the air transport plane collided with Mount Vumba in poor weather conditions.;6;24;6;3;2017;1;0;0;1;0;0;0;0;0;0;0;0;0;1
2017/5/5;653;Charleston, West Virginia;Air Cargo Carriers;?;Louisville - Charleston;0;N334AC;SH-3029;2 ? (passengers:0? crew:2);2 ? (passengers:0? crew:2);The cargo plane was destroyed when it crashed while attempting to land on runway 05 at Charleston Yeager Airport. After touching down hard, the aircraft when off the left side of the runway and fell into a wooded ravine.;2;SH-3029;2;5;2017;1;0;0;0;0;1;0;0;0;0;0;0;0;0
2017/5/15;1530;Carlstadt,, New Jersey;A&C Big Sky Aviation;?;Philadelphia, PA - Teteboro, NJ;0;N452DA;35A-452;2 ? (passengers:0? crew:2);2 ? (passengers:0? crew:2);While on approach to Teleboro Airport, the aircraft impacted the ground, 3,200 ft short of runway 01, crashing into industrial buildings and catching fire.;2;35A-452;2;5;2017;1;0;0;0;0;1;0;0;0;0;0;0;0;0
2017/5/27;1402;Tenzing, Nepal;Summit Air;409;?;0;9N-AKY;2917;3 ? (passengers:0? crew:3);2 ? (passengers:0? crew:2);The cargo plane crashed short of the runway threshhold whille attempting to land at Lukla-Tenzing Airport, coming to rest on a steep wooded area close to the airport perimeter fence. Both the pilot and copilot were killed.;3;2917;2;5;2017;0.6667;0;0;0;0;1;0;0;0;0;0;0;0;0
2017/6/7;1335;Off Dawei, Myanmar;Myanmar Air Force;?;Myeik - Yangon;0;5820;?;122 ? (passengers:108? crew:14);122 ? (passengers:108? crew:14);The transport plane carrying military personnel and their familiies, left Myeik for a return trip to Yangon. The aircraft was at FL 180 when contact by air traffic control was lost 29 minutes into the flight. The plane crashed about 20 miles west of Dawei in the Andaman Sea.;122;?;122;6;2017;1;0;0;0;0;0;1;0;0;0;0;0;0;0
2017/6/28;1015;Mount Gambier, South Australia;Angel Flight;?;Suttontown - Adelaide;0;VH-YTM;1518;3 ? (passengers:2? crew:1);3 ? (passengers:2? crew:1);The medical flight crashed 3 km south of Mount Gambier Airport in heavy fog. The plane had just taken off and was bound for Adelaide with a patient and her daughter. Angel Flight is used to help people in rural areas access medical treatment.;3;1518;3;6;2017;1;0;0;0;0;0;1;0;0;0;0;0;0;0
2017/7/10;1600;Near Itta Bena, Mississipi;USMC;?;Cherry Point, NC - El Centro, CA;0;165000;382-5303;16 ? (passengers:14? crew:2);16 ? (passengers:14? crew:2);While en route, the Marine Corps transport suffered an explosion and structural failure at 20,000 ft., spiraled down and crashed into a soybean field.;16;382-5303;16;7;2017;1;0;0;0;0;0;0;1;0;0;0;0;0;0
2017/10/14;830;Abidjan, Ivory Coast;Valan International Cargo Charter;?;Burkina Faso - Abidjan;0;ER-AVB;3204;10 ? (passengers:4? crew:6);4 ? (passengers:4? crew:0);The cargo plane, carrying French military cargo, crashed in shallow waters along the coastline while on final approach to Abidjan-Felix Houphouet Boigny Airport. The plane was carrying 6 Moldovan crew members and 4 French army personnel.;10;3204;4;10;2017;0.4;0;0;0;0;0;0;0;0;0;1;0;0;0
2017/11/15;800;Empakaai, Tanzania;Costal Aviation;?;Arusha - Serengeti;0;5H-EGG;208B-0476;11 ? (passengers:10? crew:1);11 ? (passengers:10? crew:1);The chartered Cessna was flying tourists from Kilimanjaro to Arusha. The plane circled for 30 minuets due to poor weather conditions before crashing.;11;208B-0476;11;11;2017;1;0;0;0;0;0;0;0;0;0;0;1;0;1
2017/12/13;1815;Near Fond-du-Lac, Saskatchewan;West Wind Aviation;?;Fond-du-Lac - Stony Rapids;0;C-GWEA;240;25 ? (passengers:22? crew:3);1 ? (passengers:1? crew:0);Shortly after taking off, the aircraft lost altitude and descended into trees. All 22 passengers and 3 crew survived but there were several injuries. One passenger died two weeks after the accident.;25;240;1;12;2017;0.04;0;0;0;0;0;0;0;0;0;0;0;1;0
2017/12/31;1216;Punta Islita, Costa Rica;Naure Air;?;Punta Islita - San Jose;0;TI-BEI;208B-0900;12 ? (passengers:10? crew:2);12 ? (passengers:10? crew:2);The passenger plane crashed 10 minutes after taking off from Punta Islita into a wooded area. Ten American passengers and crew of 2 were all killed.;12;208B-0900;12;12;2017;1;0;0;0;0;0;0;0;0;0;0;0;1;0
